Country,iso3,m49_subregion,spatial_block,random_10fold,continent_lo,m49_subregion_lo,latitude_bands,kmeans_6,kmeans_8,kmeans_10,kmeans_12,kmeans_15,m49_subregion_lo_buffer500km,kmeans_10_buffer500km,m49_subregion_lo_buffer1000km,kmeans_10_buffer1000km
Cuba,CUB,Caribbean,North America,6,3,1,1,0,0,0,1,1,1,0,1,0
Dominican Republic,DOM,Caribbean,North America,9,3,1,1,0,0,0,1,1,1,0,1,0
El Salvador,SLV,Central America,North America,6,3,2,1,0,0,0,1,1,2,0,2,0
Guatemala,GTM,Central America,North America,8,3,2,1,0,0,0,1,1,2,0,2,0
Haiti,HTI,Caribbean,North America,4,3,1,1,0,0,0,1,1,1,0,1,0
Honduras,HND,Central America,North America,3,3,2,1,0,0,0,1,1,2,0,2,0
Jamaica,JAM,Caribbean,North America,9,3,1,1,0,0,0,1,1,1,0,1,0
Mexico,MEX,Central America,North America,4,3,2,1,0,0,0,1,1,2,0,2,0
Nicaragua,NIC,Central America,North America,5,3,2,1,0,0,0,1,1,2,0,2,0
Panama,PAN,Central America,North America,1,3,2,0,0,0,0,1,1,2,0,2,0
United States,USA,Northern America,North America,4,3,10,3,0,0,0,0,0,10,0,10,0
Australia,AUS,Australia and New Zealand,Oceania,7,4,0,2,5,7,9,11,13,0,9,0,9
New Zealand,NZL,Australia and New Zealand,Oceania,6,4,0,3,5,7,9,11,14,0,9,0,9
Papua New Guinea,PNG,Melanesia,Oceania,7,4,7,0,5,7,9,11,13,7,9,7,9
Argentina,ARG,South America,South America,0,5,12,2,0,1,1,2,3,12,1,12,1
Bolivia,BOL,South America,South America,9,5,12,1,0,1,1,2,3,12,1,12,1
Brazil,BRA,South America,South America,3,5,12,0,0,1,1,2,3,12,1,12,1
Chile,CHL,South America,South America,7,5,12,3,0,1,1,2,3,12,1,12,1
Colombia,COL,South America,South America,1,5,12,0,0,0,0,1,2,12,0,12,0
Ecuador,ECU,South America,South America,8,5,12,0,0,0,0,1,2,12,0,12,0
Paraguay,PRY,South America,South America,0,5,12,1,0,1,1,2,3,12,1,12,1
Peru,PER,South America,South America,9,5,12,0,0,1,1,2,2,12,1,12,1
Suriname,SUR,South America,South America,9,5,12,0,0,0,0,1,2,12,0,12,0
Uruguay,URY,South America,South America,3,5,12,2,0,1,1,2,3,12,1,12,1
Venezuela,VEN,South America,South America,5,5,12,0,0,0,0,1,2,12,0,12,0
